,time,TSH0,TSH1,TSH2,TSH3,TSOS,V_PSOS,TSHSI,VSHS_OP,VSHS_CL,VSHP_OP,VSHP_CL,V_PC_1,CCH_1,TCO_1,m0plus,m0minus,m2plus,m2minus,m3plus,m3minus
1,0.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
2,13.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
3,26.0,44.6,43.3,44.3,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
4,39.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
5,52.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
6,65.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
7,78.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
8,91.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
9,104.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
10,117.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
11,130.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
12,143.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
13,156.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
14,169.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
15,182.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
16,195.0,44.6,43.3,44.3,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
17,208.0,44.6,43.3,44.3,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
18,221.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
19,234.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
20,247.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
21,260.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
22,273.0,44.6,43.3,44.3,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
23,286.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
24,299.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
25,312.0,44.6,43.3,44.5,44.8,36.1,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
26,325.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
27,338.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
28,351.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
29,364.0,44.6,43.3,44.5,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
30,377.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
31,390.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
32,403.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
33,416.0,44.6,43.3,44.5,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
34,429.0,44.6,43.3,44.5,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
35,442.0,44.6,43.3,44.5,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
36,455.0,44.6,43.3,44.5,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
37,468.0,44.6,43.3,44.5,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
38,481.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
39,494.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
40,507.0,44.6,43.3,44.5,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
41,520.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
42,533.0,44.6,43.3,44.5,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
43,546.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
44,559.0,44.6,43.3,44.5,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
45,572.0,44.6,43.3,44.5,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
46,585.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
47,598.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
48,611.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
49,624.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
50,637.0,44.6,43.3,44.5,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
51,650.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
52,663.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
53,676.0,44.6,43.1,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
54,689.0,44.6,43.1,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
55,702.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
56,715.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
57,728.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
58,741.0,44.6,43.1,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
59,754.0,44.6,43.1,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
60,767.0,44.6,43.1,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
61,780.0,44.6,43.1,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
62,793.0,44.6,43.1,44.5,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
63,806.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
64,819.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
65,832.0,44.6,43.3,44.3,44.8,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
66,845.0,44.6,43.1,44.3,44.5,35.8,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
