,time,TSH0,TSH1,TSH2,TSH3,TSOS,V_PSOS,TSHSI,VSHS_OP,VSHS_CL,VSHP_OP,VSHP_CL,V_PC_1,CCH_1,TCO_1,m0plus,m0minus,m2plus,m2minus,m3plus,m3minus
1,0.0,25.3,25.3,25.3,25.8,25.8,0.225,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,0.0,0.225,0.0,0.0,0.0,0.0
2,13.0,25.3,25.3,25.3,25.8,25.8,0.225,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,0.0,0.225,0.0,0.0,0.0,0.0
3,26.0,25.3,25.3,25.3,25.8,25.8,0.225,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,0.0,0.225,0.0,0.0,0.0,0.0
4,39.0,25.3,25.3,25.3,25.8,25.8,0.225,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,0.0,0.225,0.0,0.0,0.0,0.0
5,52.0,25.3,25.3,25.3,25.8,25.8,0.225,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,0.0,0.225,0.0,0.0,0.0,0.0
6,65.0,25.3,25.3,25.3,25.8,25.8,0.225,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,0.0,0.225,0.0,0.0,0.0,0.0
7,78.0,25.3,25.3,25.3,25.8,25.8,0.225,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,0.0,0.225,0.0,0.0,0.0,0.0
8,91.0,25.3,25.3,25.3,25.8,25.8,0.225,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,0.0,0.225,0.0,0.0,0.0,0.0
9,104.0,25.3,25.3,25.3,25.8,25.8,0.225,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,0.0,0.225,0.0,0.0,0.0,0.0
10,117.0,25.3,25.3,25.3,25.8,25.8,0.225,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,0.0,0.225,0.0,0.0,0.0,0.0
11,130.0,25.3,25.3,25.3,25.8,25.8,0.225,196.4,1.0,0.0,1.0,0.0,0.0,0.0,23.6,0.0,0.225,0.0,0.0,0.0,0.0
