,time,TSH0,TSH1,TSH2,TSH3,TSOS,V_PSOS,TSHSI,VSHS_OP,VSHS_CL,VSHP_OP,VSHP_CL,V_PC_1,CCH_1,TCO_1,m0plus,m0minus,m2plus,m2minus,m3plus,m3minus
1,0.0,26.8,24.9,27.0,26.8,23.7,0.0,203.1,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
2,172.0,26.8,24.9,27.0,26.8,23.7,0.0,203.1,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0
3,185.0,26.8,24.9,27.0,26.8,23.7,0.0,196.7,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0
4,198.0,26.8,24.9,27.0,26.8,23.7,0.0,196.4,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0
5,211.0,27.0,24.9,27.0,26.8,23.7,0.0,196.4,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0
6,224.0,27.0,24.9,27.0,26.8,23.7,0.0,196.4,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0
7,237.0,27.0,24.9,27.0,26.8,23.7,0.0,196.4,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0
8,250.0,27.0,24.9,27.0,26.8,23.7,0.0,196.4,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0
9,274.0,27.0,24.9,27.0,26.8,23.7,0.0,203.1,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0
10,287.0,27.0,24.9,27.0,26.8,23.7,0.0,196.4,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0
11,300.0,26.8,24.9,27.0,26.8,23.7,0.0,196.4,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0
12,313.0,27.0,24.9,27.0,26.8,23.7,0.225,196.1,1.0,0.0,0.0,1.0,0.0,0.0,23.8,0.0,0.225,0.0,0.225,0.0,0.225
13,326.0,27.0,24.9,27.0,26.8,24.0,0.225,196.1,1.0,0.0,0.0,1.0,0.0,0.0,23.8,0.0,0.225,0.0,0.225,0.0,0.225
14,339.0,27.0,24.9,27.0,26.8,24.4,0.225,196.1,1.0,0.0,0.0,1.0,0.0,0.0,23.8,0.0,0.225,0.0,0.225,0.0,0.225
15,352.0,27.0,24.9,27.0,26.8,24.9,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0
16,365.0,27.0,24.9,27.0,26.8,25.1,0.0,196.1,1.0,0.0,0.0,1.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0
17,378.0,27.0,24.9,27.0,26.8,25.1,0.0,196.1,1.0,0.0,0.0,1.0,0.1139,0.0,23.8,0.1139,0.0,0.0,0.0,0.0,0.0
